date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-03-16,1.6820175438596492,-7.0,1824,313,38,84.0,7327.0,2269.0,8250.0,0.0,17.16,2.08,2019-03-16,2019,3,16,5,Sat
2019-03-17,-2.9633911368015413,-9.0,2076,253,32,82.0,5565.0,1740.0,5944.0,0.0,12.19,1.54,2019-03-17,2019,3,17,6,Sun
2019-03-18,-5.390841813135985,-10.0,2162,199,37,18.0,4732.0,962.0,4026.0,0.0,9.2,1.71,2019-03-18,2019,3,18,0,Mon
2019-03-19,-6.264516129032258,-11.0,2015,189,38,86.0,4110.0,1248.0,3792.0,8.0,9.38,1.89,2019-03-19,2019,3,19,1,Tue
2019-03-20,-4.1593794076163615,-9.0,2127,240,27,77.0,5698.0,2341.0,4056.0,2.0,11.28,1.27,2019-03-20,2019,3,20,2,Wed
2019-03-21,0.569672131147541,-7.0,2196,327,28,180.0,6174.0,3678.0,8770.0,0.0,14.89,1.28,2019-03-21,2019,3,21,3,Thu
2019-03-22,6.876781609195402,-7.0,2175,449,30,152.0,7987.0,10083.0,13529.0,0.0,20.64,1.38,2019-03-22,2019,3,22,4,Fri
2019-03-23,-0.7109634551495017,-9.0,1806,217,32,156.0,9247.0,1233.0,4799.0,255.0,12.02,1.77,2019-03-23,2019,3,23,5,Sat
2019-03-24,-2.662964751327861,-10.0,2071,245,25,617.0,5951.0,1990.0,6873.0,77.0,11.83,1.21,2019-03-24,2019,3,24,6,Sun
2019-03-25,1.5990888382687927,-8.0,2195,354,34,952.0,7495.0,4919.0,8963.0,20.0,16.13,1.55,2019-03-25,2019,3,25,0,Mon
2019-03-26,-2.1697931697931696,-9.0,2079,278,30,791.0,6176.0,2317.0,5041.0,0.0,13.37,1.44,2019-03-26,2019,3,26,1,Tue
2019-03-27,-3.0024189646831156,-10.0,2067,245,21,139.0,5233.0,3582.0,6071.0,0.0,11.85,1.02,2019-03-27,2019,3,27,2,Wed
2019-03-28,-2.2899274047186933,-9.5,2204,259,23,1436.0,7039.0,2184.0,5783.0,25.0,11.75,1.04,2019-03-28,2019,3,28,3,Thu
2019-03-29,-2.880941393631749,-9.0,2167,258,23,191.0,6118.0,1414.0,6771.0,3.0,11.91,1.06,2019-03-29,2019,3,29,4,Fri
2019-03-30,-2.005787037037037,-9.0,1728,200,25,57.0,7031.0,1161.0,3862.0,39.0,11.57,1.45,2019-03-30,2019,3,30,5,Sat
2019-03-31,-1.1848295727316371,-8.0,2083,289,13,504.0,6483.0,3075.0,5421.0,0.0,13.87,0.62,2019-03-31,2019,3,31,6,Sun
2019-04-01,11.694915254237289,-4.0,2124,616,27,200.0,16061.0,3730.0,18638.0,7.0,29.0,1.27,2019-04-01,2019,4,1,0,Mon
2019-04-02,-5.563739376770538,-10.0,2118,203,23,7.0,3445.0,2207.0,2991.0,0.0,9.58,1.09,2019-04-02,2019,4,2,1,Tue
